account_rewards,date
905.2110523071606,2023-04-05
-2156.7777183532016,2023-04-06
-2111.9013061523438,2023-04-10
-1217.6756607056595,2023-04-11
8711.439608001616,2023-04-12
5897.254759979318,2023-04-13
1479.0723541259067,2023-04-14
959.0037185669644,2023-04-17
1195.6356750488048,2023-04-18
-6501.4768809814705,2023-04-19
-2131.191436767578,2023-04-20
-2542.008834838867,2023-04-21
-11161.093734741211,2023-04-24
9522.430618286133,2023-04-25
17899.227508544922,2023-04-26
4631.8338623046875,2023-04-27
1262.0499572753906,2023-04-28
-7089.286880493164,2023-05-01
-12410.866973876953,2023-05-02
-797.0551910400391,2023-05-03
21571.157608032227,2023-05-04
-3382.343032836914,2023-05-05
-4525.24430847168,2023-05-08
6749.922409057617,2023-05-09
-4151.728668212891,2023-05-10
-3966.483856201172,2023-05-11
1889.4117431640625,2023-05-12
-4545.606231689453,2023-05-15
7980.125183105469,2023-05-16
7456.651763916016,2023-05-17
-1246.832260131836,2023-05-18
653.2637939453125,2023-05-19
-9910.978759765625,2023-05-22
-5656.188980102539,2023-05-23
9180.05239868164,2023-05-24
10367.175018310547,2023-05-25
2798.061492919922,2023-05-26
-2824.5718994140625,2023-05-30
3236.3268127441406,2023-05-31
11022.902847290039,2023-06-01
939.1279449462891,2023-06-02
-2859.3338775634766,2023-06-05
-9436.185470581055,2023-06-06
4450.3721923828125,2023-06-07
257.6269073486328,2023-06-08
6546.427230834961,2023-06-09
7582.346832275391,2023-06-12
3182.6605224609375,2023-06-13
20471.64500427246,2023-06-14
-5201.813735961914,2023-06-15
-5868.660751342773,2023-06-16
-7172.755752563477,2023-06-20
8285.938110351562,2023-06-21
-8174.065704345703,2023-06-22
-9498.805221557617,2023-06-23
6665.868682861328,2023-06-26
492.0120391845703,2023-06-27
5649.119079589844,2023-06-28
13504.486846923828,2023-06-29
335.6034698486328,2023-06-30
-1522.606918334961,2023-07-03
-1230.9921112060547,2023-07-05
