account_rewards,date
-370.40869519044645,2022-10-04
-9158.041865142877,2022-10-05
-36581.41131562798,2022-10-06
-14517.158212265116,2022-10-07
-11017.050294326735,2022-10-10
2291.2700510406867,2022-10-11
30036.214573852485,2022-10-12
-14640.819873519824,2022-10-13
30133.924751006998,2022-10-14
5159.258401214611,2022-10-17
-7623.864718338009,2022-10-18
-1332.0431099090492,2022-10-19
21598.96984378819,2022-10-20
14955.829587966902,2022-10-21
10600.287388977013,2022-10-24
-55806.74316053768,2022-10-25
-12676.2605199432,2022-10-26
26416.324750198284,2022-10-27
-10661.002385368338,2022-10-28
-8884.711372207617,2022-10-31
-23993.880237625097,2022-11-01
-17010.404402618413,2022-11-02
22925.853151031537,2022-11-03
19064.425090110744,2022-11-04
5697.9793320312165,2022-11-07
-14098.270072921761,2022-11-08
57149.58755031589,2022-11-09
11998.05308642576,2022-11-10
-17040.45824519347,2022-11-11
373.9383839875227,2022-11-14
1180.1730879516108,2022-11-15
-701.2239359741798,2022-11-16
-269.35817269887775,2022-11-17
1740.4452956542373,2022-11-18
9566.422538696323,2022-11-21
7328.585333724972,2022-11-22
91.15706842043437,2022-11-23
-17930.295444442774,2022-11-25
-1666.6436809692532,2022-11-28
42573.45762239082,2022-11-29
-3352.7296264648903,2022-11-30
-254.86272679141257,2022-12-01
-17820.100429473794,2022-12-02
-14492.30947856151,2022-12-05
-2252.2556997069623,2022-12-06
10148.20042002108,2022-12-07
-6337.937973815948,2022-12-08
22089.810659683193,2022-12-09
11684.890303451568,2022-12-12
-81.41999830631539,2022-12-13
-26581.46879067982,2022-12-14
-12983.388326042215,2022-12-15
-10851.332262954675,2022-12-16
4488.106958991964,2022-12-19
9162.594528198242,2022-12-20
-18880.615619003307,2022-12-21
2058.0506668243324,2022-12-22
-4431.246521377587,2022-12-23
-6102.509017944336,2022-12-27
18761.521283432026,2022-12-28
-2196.839176574722,2022-12-29
228.225895462092,2022-12-30
