account_rewards,date
-14640.956298095756,2022-04-04
-21000.541533126845,2022-04-05
1458.577318466152,2022-04-06
-6510.502738769515,2022-04-07
-32061.256727478,2022-04-08
-4285.196489288355,2022-04-11
18348.657285369933,2022-04-12
-14904.710286041256,2022-04-13
4616.730117370607,2022-04-14
14276.997718994156,2022-04-18
3076.2052884520963,2022-04-19
-12310.030277160578,2022-04-20
-25191.83334039303,2022-04-21
15652.32520147704,2022-04-22
-32762.125046783476,2022-04-25
17524.611722961417,2022-04-26
21495.874957160908,2022-04-27
-36388.85835967248,2022-04-28
7127.359707130468,2022-04-29
769.3511096496368,2022-05-02
29846.729790069512,2022-05-03
-39762.92290582275,2022-05-04
-4788.505967208766,2022-05-05
-26387.639566497877,2022-05-06
11110.014941757196,2022-05-09
-27045.367622161866,2022-05-10
-16373.09538450616,2022-05-11
18844.59427725221,2022-05-12
-2274.618502502446,2022-05-13
19193.09377796168,2022-05-16
-34888.81801023858,2022-05-17
-7111.201086944551,2022-05-18
-52.85157070925925,2022-05-19
26649.602266502334,2022-05-20
-2438.57087829581,2022-05-23
7143.668725357042,2022-05-24
11595.293625488295,2022-05-25
22223.437352844165,2022-05-26
-1372.2097250976367,2022-05-27
-3712.043311996502,2022-05-31
5197.682802047813,2022-06-01
-15346.992194625898,2022-06-02
-3917.505559448269,2022-06-03
10289.757655273424,2022-06-06
-7311.223418273847,2022-06-07
-19256.12110917666,2022-06-08
-34584.45695458981,2022-06-09
-31033.66828388977,2022-06-10
2480.5836049041245,2022-06-13
18435.035741485655,2022-06-14
-21264.831711319042,2022-06-15
7713.363957717898,2022-06-16
19525.30433435063,2022-06-17
-1714.124442108092,2022-06-21
13142.587669372559,2022-06-22
26910.167451110785,2022-06-23
-8454.550108520547,2022-06-24
-21939.076119048987,2022-06-27
9067.914764404297,2022-06-28
-12856.080394866993,2022-06-29
9388.930084228516,2022-06-30
7376.942191619892,2022-07-01
