date,AAPL,AMGN,AXP,JPM,MSFT
2022-01-03,100,0,100,0,6
2022-01-04,-65,100,-95,0,91
2022-01-05,-35,-16,100,72,20
2022-01-06,0,-70,-86,-72,100
2022-01-07,0,79,35,0,27
2022-01-10,0,-22,100,0,5
2022-01-11,100,-71,23,0,100
2022-01-12,100,27,100,0,-54
2022-01-13,90,-27,100,0,52
2022-01-14,100,0,-66,0,-63
2022-01-18,100,0,-37,0,100
2022-01-19,32,0,100,70,100
2022-01-20,28,0,-5,-70,-87
2022-01-21,37,0,-7,17,-96
2022-01-24,-50,0,-100,-17,31
2022-01-25,-537,0,-262,0,-332
2022-01-26,0,0,100,0,67
2022-01-27,2,0,15,3,18
2022-01-28,100,55,94,-3,-85
2022-01-31,100,-55,100,13,83
2022-02-01,100,2,-14,100,62
2022-02-02,100,-2,71,-81,91
2022-02-03,100,0,-30,-32,-18
2022-02-04,100,0,41,7,43
2022-02-07,23,0,-100,-7,-41
2022-02-08,69,0,74,0,-100
2022-02-09,-9,49,81,0,100
2022-02-10,-82,-49,100,0,-100
2022-02-11,100,0,100,0,46
2022-02-14,-49,0,48,0,49
2022-02-15,77,0,38,0,-100
2022-02-16,86,0,-67,18,56
2022-02-17,55,0,89,-18,100
2022-02-18,-52,0,40,100,100
2022-02-22,100,0,100,-83,100
2022-02-23,100,0,72,-17,100
2022-02-24,0,0,72,0,100
2022-02-25,100,0,100,0,100
2022-02-28,100,0,-45,0,100
2022-03-01,91,0,95,0,-98
2022-03-02,61,0,59,0,100
2022-03-03,1,100,73,4,-11
2022-03-04,100,-100,100,-4,48
2022-03-07,-5,0,-42,0,31
2022-03-08,-50,0,55,0,-8
2022-03-09,-82,0,100,0,78
2022-03-10,-11,0,81,0,-20
2022-03-11,-3,82,67,0,100
2022-03-14,-10,-82,50,6,100
2022-03-15,100,17,4,-6,100
2022-03-16,-68,-17,37,0,100
2022-03-17,100,50,21,0,10
2022-03-18,5,-17,100,0,-27
2022-03-21,-47,-33,-76,0,14
2022-03-22,81,100,100,0,-99
2022-03-23,49,12,-18,0,-26
2022-03-24,-100,100,-100,0,-49
2022-03-25,0,0,0,0,93
2022-03-28,-51,100,-100,100,-100
2022-03-29,100,-100,79,-100,13
2022-03-30,-9,-100,-58,0,100
2022-03-31,100,-100,70,0,-50
