account_rewards,date
394.8620103149442,2023-07-07
2349.079870605492,2023-07-10
8697.769469299354,2023-07-11
8978.58715881349,2023-07-12
3868.789813522366,2023-07-13
9642.95432984922,2023-07-14
17330.997142562876,2023-07-17
-2474.3373413085938,2023-07-18
-6450.0580527954735,2023-07-19
-6167.935579162557,2023-07-20
8419.218178619398,2023-07-21
4386.284605148365,2023-07-24
-11643.527313446044,2023-07-25
-13625.671539718634,2023-07-26
14189.610991760273,2023-07-27
-595.4837757569039,2023-07-28
-1850.1457861480303,2023-07-31
-18433.057065155008,2023-08-01
-742.7308615418151,2023-08-02
-8550.726989746094,2023-08-03
1302.1727098694537,2023-08-04
-6493.917860290618,2023-08-07
-11060.5882056884,2023-08-08
209.31032455444802,2023-08-09
-613.4518255310832,2023-08-10
6305.113984176656,2023-08-11
-13067.676544387825,2023-08-14
-3237.210647583008,2023-08-15
-10463.848724365234,2023-08-16
660.4377899169922,2023-08-17
9589.354156952002,2023-08-18
-4052.668930053711,2023-08-21
12168.534068313544,2023-08-22
-14731.337158203125,2023-08-23
6051.501983642578,2023-08-24
3670.8319396972656,2023-08-25
13036.693240432767,2023-08-28
3753.45161399839,2023-08-29
-4603.408189361566,2023-08-30
4079.4064025878906,2023-08-31
3119.294013427687,2023-09-01
-9616.566489471355,2023-09-05
-12686.309020996094,2023-09-06
6331.488433837891,2023-09-07
7219.518020629883,2023-09-08
-7436.3322044831,2023-09-11
2551.2025768585736,2023-09-12
11311.570960998535,2023-09-13
-10480.695505722077,2023-09-14
2372.379898071289,2023-09-15
424.2296744232299,2023-09-18
-14443.294967636117,2023-09-19
-6092.248372467002,2023-09-20
-4863.779476654017,2023-09-21
3897.955551147461,2023-09-22
-14532.976272583008,2023-09-25
694.2972637481289,2023-09-26
5519.870941467234,2023-09-27
-3456.0011842346285,2023-09-28
6561.131501983735,2023-09-29
-12714.595545043936,2023-10-02
8754.055740356445,2023-10-03
