date,AAPL,AMGN,AXP,JPM,MSFT
2022-04-04,100,68,100,0,-74
2022-04-05,0,69,-62,0,0
2022-04-06,-100,-85,-100,0,44
2022-04-07,100,-38,6,71,19
2022-04-08,27,100,-43,-18,0
2022-04-11,-100,14,-88,60,-42
2022-04-12,100,100,28,-100,0
2022-04-13,-86,-71,-100,100,-49
2022-04-14,100,100,-95,-53,100
2022-04-18,0,0,-100,1,86
2022-04-19,-30,-100,-96,73,100
2022-04-20,100,34,19,2,-100
2022-04-21,1,36,0,0,0
2022-04-22,-100,-27,-100,100,100
2022-04-25,-36,0,-84,0,79
2022-04-26,-100,65,0,1,0
2022-04-27,-100,-14,-100,61,-38
2022-04-28,100,100,-100,59,13
2022-04-29,100,86,-32,-43,-71
2022-05-02,100,21,-4,-2,-100
2022-05-03,1,54,0,-2,0
2022-05-04,-100,0,0,1,57
2022-05-05,-55,-6,59,0,0
2022-05-06,-100,-6,19,100,-12
2022-05-09,100,1,0,-100,6
2022-05-10,-96,0,0,0,55
2022-05-11,-100,-21,-100,82,100
2022-05-12,-100,-77,-100,100,100
2022-05-13,0,59,-20,0,0
2022-05-16,-100,0,-100,35,100
2022-05-17,-100,56,-100,49,22
2022-05-18,91,100,0,-44,-100
2022-05-19,-100,-36,-84,100,-75
2022-05-20,97,100,-86,-61,100
2022-05-23,-100,-20,-100,100,-50
2022-05-24,100,100,-22,6,0
2022-05-25,-100,-78,-20,100,63
2022-05-26,0,33,0,-4,0
2022-05-27,-100,24,6,100,-17
2022-05-31,-100,-100,-55,46,29
2022-06-01,100,0,23,-87,100
2022-06-02,-100,-12,-55,1,99
2022-06-03,-100,-90,-20,100,73
2022-06-06,0,0,0,56,0
2022-06-07,-100,0,-61,-2,93
2022-06-08,-100,-32,51,95,-61
2022-06-09,0,19,0,-100,100
2022-06-10,-100,0,0,1,54
2022-06-13,-100,46,-59,100,0
2022-06-14,-100,-100,14,100,94
2022-06-15,-100,-52,0,2,100
2022-06-16,-100,0,-15,1,61
2022-06-17,-86,2,0,100,0
2022-06-21,0,-51,0,100,2
2022-06-22,0,0,0,0,0
2022-06-23,0,-88,68,100,0
2022-06-24,0,-48,-10,0,48
2022-06-27,0,0,-58,1,31
2022-06-28,0,0,0,0,0
2022-06-29,0,-32,0,0,29
2022-06-30,0,0,0,0,0
2022-07-01,0,2,100,2,-100
