date,AAPL,AMGN,AXP,JPM,MSFT
2023-01-04,0,0,-9,0,6
2023-01-05,0,100,-47,23,-100
2023-01-06,0,-26,0,0,31
2023-01-09,97,-100,0,100,0
2023-01-10,0,0,0,0,0
2023-01-11,79,-83,0,100,-100
2023-01-12,0,53,0,64,-100
2023-01-13,1,100,0,-38,4
2023-01-17,-12,-100,0,-100,-7
2023-01-18,-29,93,100,-100,69
2023-01-19,-54,100,-42,-100,15
2023-01-20,-15,-100,33,31,7
2023-01-23,93,-100,100,71,30
2023-01-24,67,-40,40,-14,-91
2023-01-25,0,73,0,0,0
2023-01-26,-9,83,0,-13,-71
2023-01-27,-218,-162,-231,-1112,-2444
2023-01-30,0,0,0,0,0
2023-01-31,0,50,0,0,0
2023-02-01,0,-10,0,0,69
2023-02-02,0,100,0,0,-52
2023-02-03,0,-100,49,54,21
2023-02-06,0,100,35,27,-38
2023-02-07,32,-100,6,-54,0
2023-02-08,100,-40,100,76,3
2023-02-09,100,65,-50,-64,-3
2023-02-10,52,6,-47,35,0
2023-02-13,100,100,100,-44,0
2023-02-14,35,-42,-100,89,36
2023-02-15,44,13,100,32,-36
2023-02-16,-23,-42,-100,100,45
2023-02-17,44,74,-22,-26,100
2023-02-21,-100,-60,-71,100,-62
2023-02-22,-2,88,62,20,-83
2023-02-23,-90,-54,53,-91,41
2023-02-24,100,-35,58,-98,22
2023-02-27,-4,-45,33,-100,-63
2023-02-28,-90,-68,84,11,0
2023-03-01,100,49,100,-4,0
2023-03-02,65,29,-100,100,0
2023-03-03,100,-32,-72,-97,0
2023-03-06,-100,0,-76,74,0
2023-03-07,-15,56,-98,-13,49
2023-03-08,53,-28,31,-93,-49
2023-03-09,9,100,-75,-15,0
2023-03-10,29,-8,54,-15,0
2023-03-13,100,-100,54,-4,25
2023-03-14,-100,-54,-13,0,-25
2023-03-15,-83,66,56,0,0
2023-03-16,-100,-78,49,37,0
2023-03-17,-32,13,-45,-37,0
2023-03-20,40,-13,-81,0,43
2023-03-21,34,100,55,0,-9
2023-03-22,100,-22,21,100,-34
2023-03-23,-35,66,-100,-50,0
2023-03-24,-56,-100,-50,-50,0
2023-03-27,-100,18,0,0,100
2023-03-28,-100,-62,68,99,2
2023-03-29,-100,0,-17,83,-100
2023-03-30,100,0,-51,80,-2
2023-03-31,100,0,81,49,89
2023-04-03,-66,100,3,77,-82
