date,AAPL,AMGN,AXP,JPM,MSFT
2023-07-07,-5,36,0,50,-100
2023-07-10,-100,-100,0,100,-25
2023-07-11,-44,3,14,100,100
2023-07-12,-84,0,0,2,81
2023-07-13,0,-100,43,100,0
2023-07-14,0,-100,-57,2,93
2023-07-17,100,-89,28,100,-57
2023-07-18,0,0,0,0,0
2023-07-19,64,-100,-28,100,0
2023-07-20,0,-100,0,100,21
2023-07-21,0,-6,0,1,4
2023-07-24,100,-100,31,9,-60
2023-07-25,-100,-100,-31,100,100
2023-07-26,-100,-100,100,51,97
2023-07-27,0,-100,-100,42,100
2023-07-28,0,-44,0,-78,66
2023-07-31,0,0,0,1,0
2023-08-01,56,0,0,0,-33
2023-08-02,1,0,0,-86,40
2023-08-03,0,0,0,0,0
2023-08-04,20,0,0,0,-11
2023-08-07,-100,0,0,56,27
2023-08-08,0,0,0,98,-46
2023-08-09,0,0,0,27,-13
2023-08-10,1,0,0,-29,13
2023-08-11,1,0,0,-24,11
2023-08-14,45,0,0,-25,-13
2023-08-15,0,0,0,0,0
2023-08-16,0,0,0,0,0
2023-08-17,0,0,0,0,0
2023-08-18,43,0,0,-51,0
2023-08-21,0,0,0,0,0
2023-08-22,45,0,0,-50,-2
2023-08-23,0,0,0,0,0
2023-08-24,0,0,0,0,0
2023-08-25,0,0,0,0,0
2023-08-28,81,0,0,-100,0
2023-08-29,100,0,0,-5,-100
2023-08-30,0,0,2,100,0
2023-08-31,0,0,0,0,0
2023-09-01,0,0,-2,0,1
2023-09-05,-42,0,0,55,0
2023-09-06,0,0,0,0,0
2023-09-07,0,0,0,0,0
2023-09-08,0,0,0,0,0
2023-09-11,100,0,0,-13,-73
2023-09-12,-100,0,73,100,0
2023-09-13,0,0,100,100,-100
2023-09-14,0,0,0,21,0
2023-09-15,0,0,0,0,0
2023-09-18,0,0,0,51,-23
2023-09-19,89,0,-100,0,0
2023-09-20,0,0,-58,61,0
2023-09-21,-27,0,-15,0,22
2023-09-22,0,0,0,0,0
2023-09-25,0,0,0,0,0
2023-09-26,1,0,0,-16,7
2023-09-27,57,0,0,100,-78
2023-09-28,0,0,0,1,0
2023-09-29,0,0,0,-64,29
2023-10-02,0,0,0,45,-20
2023-10-03,0,0,0,0,0
