account_value,date,daily_return
1032858.6835072022,2022-04-04,
1018217.7272091064,2022-04-05,-0.01417517859111228
997217.1856759796,2022-04-06,-0.020624804471523484
998675.7629944457,2022-04-07,0.001462647595144917
992165.2602556762,2022-04-08,-0.006519135619400984
960104.0035281982,2022-04-11,-0.03231443189133232
955818.8070389099,2022-04-12,-0.004463262806467916
974167.4643242798,2022-04-13,0.0191967945705247
959262.7540382385,2022-04-14,-0.015299946705138345
963879.4841556092,2022-04-18,0.004812789924278249
978156.4818746033,2022-04-19,0.014812015354286112
981232.6871630554,2022-04-20,0.0031449009902349
968922.6568858948,2022-04-21,-0.012545475133682538
943730.8235455018,2022-04-22,-0.02599983926617966
959383.1487469788,2022-04-25,0.016585582256043008
926621.0237001954,2022-04-26,-0.0341491562464622
944145.6354231568,2022-04-27,0.018912383029020763
965641.5103803177,2022-04-28,0.02276754152184024
929252.6520206452,2022-04-29,-0.03768361029274803
936380.0117277757,2022-05-02,0.007669991246871399
937149.3628374253,2022-05-03,0.0008216227386466102
966996.0926274948,2022-05-04,0.03184842349964567
927233.1697216721,2022-05-05,-0.041120045064277355
922444.6637544633,2022-05-06,-0.005164295372054206
896057.0241879654,2022-05-09,-0.02860620328063579
907167.0391297226,2022-05-10,0.012398781151038207
880121.6715075608,2022-05-11,-0.02981299634531198
863748.5761230546,2022-05-12,-0.018603218071497674
882593.1704003068,2022-05-13,0.021817221814519616
880318.5518978044,2022-05-16,-0.002577199301769806
899511.645675766,2022-05-17,0.021802441555485608
864622.8276655275,2022-05-18,-0.03878639946237494
857511.6265785829,2022-05-19,-0.008224627964247389
857458.7750078737,2022-05-20,-6.163364912048497e-05
884108.377274376,2022-05-23,0.031079747555510906
881669.8063960802,2022-05-24,-0.002758226186945212
888813.4751214372,2022-05-25,0.008102430948109252
900408.7687469255,2022-05-26,0.013045812141747826
922632.2060997697,2022-05-27,0.024681498141973846
921259.996374672,2022-05-31,-0.001487277070999271
917547.9530626755,2022-06-01,-0.004029311298226479
922745.6358647234,2022-06-02,0.005664753307659254
907398.6436700975,2022-06-03,-0.01663187729979776
903481.1381106492,2022-06-06,-0.004317292721094823
913770.8957659226,2022-06-07,0.011389012145611943
906459.6723476488,2022-06-08,-0.008001155926667614
887203.5512384721,2022-06-09,-0.021243218751591075
852619.0942838823,2022-06-10,-0.03898142304132168
821585.4259999925,2022-06-13,-0.03639804514342371
824066.0096048967,2022-06-14,0.0030192643715472034
842501.0453463823,2022-06-15,0.022370824092507346
821236.2136350633,2022-06-16,-0.02524012501679007
828949.5775927812,2022-06-17,0.009392381667603367
848474.8819271318,2022-06-21,0.023554272614567218
846760.7574850237,2022-06-22,-0.002020241822851432
859903.3451543963,2022-06-23,0.015521016477437533
886813.512605507,2022-06-24,0.031294409543527246
878358.9624969865,2022-06-27,-0.00953362797064361
856419.8863779375,2022-06-28,-0.02497734645603311
865487.8011423418,2022-06-29,0.010588164647548304
852631.7207474748,2022-06-30,-0.01485414396124185
862020.6508317033,2022-07-01,0.01101170629213466
869397.5930233232,2022-07-05,0.008557732560701803
