account_value,date,daily_return
<<<<<<< HEAD:results/account_value_trade_ensemble_441.csv
922700.7488956524,2023-04-05,
924004.8994754864,2023-04-06,0.0014134057888159912
920268.8201839519,2023-04-10,-0.004043354416903289
918169.1350811076,2023-04-11,-0.00228159974215425
916439.5791851114,2023-04-12,-0.0018837007582959142
925272.3004955362,2023-04-13,0.009638083634797567
926158.8637844155,2023-04-14,0.000958164735294087
926675.6947216104,2023-04-17,0.0005580370251849764
928446.9848629069,2023-04-18,0.0019114455589865909
930083.331736381,2023-04-19,0.0017624559077176194
926447.3740291666,2023-04-20,-0.0039092816558989885
924277.734003837,2023-04-21,-0.0023418923580017514
920748.3704128336,2023-04-24,-0.0038185098062620826
911104.0293560099,2023-04-25,-0.01047445900175692
921017.8306072307,2023-04-26,0.010881085948251323
934880.922842033,2023-04-27,0.015051926004149507
940095.3020565105,2023-04-28,0.005577586500135068
938288.3502544474,2023-05-01,-0.0019220942792823603
930943.1118923258,2023-05-02,-0.00782833801584526
924896.5749034951,2023-05-03,-0.006495066037429331
919701.5564693522,2023-05-04,-0.005616864171742675
942067.9513988566,2023-05-05,0.02431918786281817
940773.875461967,2023-05-08,-0.0013736545595973704
936690.9341564251,2023-05-09,-0.004339981596041875
938491.4407527995,2023-05-10,0.0019221992342606242
935238.3167827678,2023-05-11,-0.0034663331265144537
932604.7032527995,2023-05-12,-0.0028159812132462214
934732.6661525797,2023-05-15,0.002281741548544769
934670.9413082195,2023-05-16,-6.603475688327087e-05
942286.1704265666,2023-05-17,0.008147497457970054
949393.7990154338,2023-05-18,0.0075429618007123445
948713.5087596965,2023-05-19,-0.0007165522425390813
949874.4390514445,2023-05-22,0.0012236890073018536
939275.9803096843,2023-05-23,-0.011157747072701452
937040.2027340007,2023-05-24,-0.0023803201854969425
945062.8192348552,2023-05-25,0.008561656668995443
958940.1053432537,2023-05-26,0.014683982721523048
961793.4071453167,2023-05-30,0.0029754744703702762
959462.1075893475,2023-05-31,-0.002423908854697454
969749.6679058148,2023-06-01,0.010722216370081306
981102.1638103558,2023-06-02,0.011706625204684906
979248.2628063275,2023-06-05,-0.0018896105547542286
980768.0103130413,2023-06-06,0.0015519532323278185
970109.683086784,2023-06-07,-0.010867327557773199
975122.4429210735,2023-06-08,0.005167209359605129
976263.070473869,2023-06-09,0.0011697275158375486
985885.1376781537,2023-06-12,0.009856018828628077
991744.1256435467,2023-06-13,0.005942870768081088
