date,TIME,open,high,low,close,time
04-01-2010,00:00:00,7.622499943,7.660714149,7.585000038,6.487532616,00:00
05-01-2010,00:00:00,7.664286137,7.699643135,7.616071224,6.498749733,01:00
06-01-2010,00:00:00,7.656428814,7.686786175,7.526785851,6.395379066,02:00
07-01-2010,00:00:00,7.5625,7.571428776,7.466071129,6.383554459,03:00
08-01-2010,00:00:00,7.510714054,7.571428776,7.466429234,6.425996304,04:00
11-01-2010,00:00:00,7.599999905,7.607142925,7.444643021,6.369308949,05:00
12-01-2010,00:00:00,7.471070766,7.491786003,7.372142792,6.296857357,06:00
13-01-2010,00:00:00,7.423929214,7.533214092,7.289286137,6.385678768,07:00
14-01-2010,00:00:00,7.503929138,7.516428947,7.465000153,6.348695755,08:00
15-01-2010,00:00:00,7.533214092,7.557143211,7.352499962,6.242594242,09:00
19-01-2010,00:00:00,7.440357208,7.685357094,7.401429176,6.51875782,10:00
20-01-2010,00:00:00,7.675356865,7.698214054,7.482142925,6.418417931,11:00
21-01-2010,00:00:00,7.574285984,7.61821413,7.40035677,6.307468414,12:00
22-01-2010,00:00:00,7.385000229,7.410714149,7.041429043,5.994625092,13:00
25-01-2010,00:00:00,7.232500076,7.310713768,7.149642944,6.155897617,14:00
26-01-2010,00:00:00,7.35535717,7.632500172,7.235000134,6.242898464,15:00
27-01-2010,00:00:00,7.387499809,7.520713806,7.126070976,6.301707268,16:00
28-01-2010,00:00:00,7.318929195,7.339285851,7.096428871,6.041309834,17:00
29-01-2010,00:00:00,7.181428909,7.221428871,6.794642925,5.822138309,18:00
01-02-2010,00:00:00,6.870357037,7,6.83214283,5.903077602,19:00
02-02-2010,00:00:00,6.996786118,7.011428833,6.906428814,5.9373312,20:00
03-02-2010,00:00:00,6.970356941,7.150000095,6.943571091,6.039489269,21:00
04-02-2010,00:00:00,7.026071072,7.084642887,6.841785908,5.821834087,22:00
05-02-2010,00:00:00,6.879642963,7,6.816071033,5.925203323,23:00
08-02-2010,00:00:00,6.988928795,7.067142963,6.928571224,5.884584904,00:00
09-02-2010,00:00:00,7.014999866,7.053571224,6.955357075,5.94733429,01:00
10-02-2010,00:00:00,6.996070862,7.021429062,6.937857151,5.914898396,02:00
11-02-2010,00:00:00,6.960000038,7.133928776,6.93071413,6.022513866,03:00
12-02-2010,00:00:00,7.07535696,7.20142889,6.982142925,6.074351311,04:00
16-02-2010,00:00:00,7.212142944,7.274642944,7.197143078,6.16590023,05:00
17-02-2010,00:00:00,7.292500019,7.296785831,7.17357111,6.140133381,06:00
18-02-2010,00:00:00,7.201070786,7.281785965,7.175714016,6.15165472,07:00
19-02-2010,00:00:00,7.209286213,7.257143021,7.182499886,6.11345768,08:00
22-02-2010,00:00:00,7.226428986,7.232142925,7.113928795,6.075562954,09:00
23-02-2010,00:00:00,7.142857075,7.190357208,6.989643097,5.973709106,10:00
24-02-2010,00:00:00,7.079642773,7.19428587,7.065713882,6.082840919,11:00
25-02-2010,00:00:00,7.049285889,7.244999886,7.031785965,6.123461723,12:00
26-02-2010,00:00:00,7.227857113,7.327499866,7.214285851,6.20288372,13:00
01-03-2010,00:00:00,7.348214149,7.482142925,7.337500095,6.33535862,14:00
02-03-2010,00:00:00,7.497499943,7.529643059,7.419285774,6.331113338,15:00
03-03-2010,00:00:00,7.462142944,7.495357037,7.426428795,6.345662594,16:00
04-03-2010,00:00:00,7.474286079,7.532856941,7.451070786,6.387494564,17:00
05-03-2010,00:00:00,7.676428795,7.846428871,7.665357113,6.637285233,18:00
08-03-2010,00:00:00,7.857500076,7.860356808,7.794642925,6.641226292,19:00
09-03-2010,00:00:00,7.796785831,8.035714149,7.781785965,6.760663986,20:00
10-03-2010,00:00:00,7.993928909,8.052857399,7.971428871,6.815835953,21:00
11-03-2010,00:00:00,7.996786118,8.053570747,7.975714207,6.835843086,22:00
12-03-2010,00:00:00,8.12035656,8.133213997,8.0625,6.869187832,23:00
15-03-2010,00:00:00,8.049285889,8.053570747,7.866071224,6.785522938,00:00
16-03-2010,00:00:00,8.006428719,8.034999847,7.946785927,6.804013252,01:00
17-03-2010,00:00:00,8.032142639,8.087499619,7.973928928,6.79401207,02:00
18-03-2010,00:00:00,8.003570557,8.035714149,7.95035696,6.810076714,03:00
19-03-2010,00:00:00,8.028214455,8.044285774,7.901071072,6.737323284,04:00
22-03-2010,00:00:00,7.873929024,8.071429253,7.862500191,6.813108921,05:00
23-03-2010,00:00:00,8.058570862,8.170714378,8.003570557,6.922542572,06:00
24-03-2010,00:00:00,8.130000114,8.221428871,8.125356674,6.95316124,07:00
25-03-2010,00:00:00,8.247142792,8.248929024,8.080356598,6.870704651,08:00
26-03-2010,00:00:00,8.176786423,8.283928871,8.162500381,6.999539852,09:00
29-03-2010,00:00:00,8.321429253,8.352499962,8.272143364,7.044707298,10:00
30-03-2010,00:00:00,8.449999809,8.4814291,8.366070747,7.14959383,11:00
31-03-2010,00:00:00,8.410357475,8.450357437,8.373571396,7.123825073,12:00
01-04-2010,00:00:00,8.478928566,8.526070595,8.3125,7.153233528,13:00
05-04-2010,00:00:00,8.39214325,8.518214226,8.384642601,7.229624748,14:00
