date,ensemble,dji
2022-07-25,864436.575471924,874401.744650069
2022-07-26,846117.650697159,868156.0255291206
2022-07-27,887525.8751602022,880074.8469827644
2022-07-28,904814.5434253464,889150.7109662574
2022-07-29,916275.0319625476,897774.3966729929
2022-08-01,907632.1211858294,896497.0864664163
2022-08-02,896928.7160548479,885502.7480374022
2022-08-03,919084.7221280368,896882.5324118934
2022-08-04,920728.7909437562,894540.6012849978
2022-08-05,923054.324797974,896635.6761720199
2022-08-08,914787.6983682252,897430.2713870449
2022-08-09,921503.4647957308,895841.4012721851
2022-08-10,944012.8033357316,910467.6334846823
2022-08-11,940893.083351334,911210.0173237132
2022-08-12,956170.489762192,922809.8048479704
2022-08-15,960731.9202916416,926947.8500177509
2022-08-16,960562.8018910678,933496.1602216582
2022-08-17,956953.6111012422,928803.2223708129
2022-08-18,953208.5978426896,929314.8725012079
2022-08-19,939815.3064541476,921325.2507133685
2022-08-22,915044.3764777072,903746.2463063655
2022-08-23,909775.2240385972,899536.3437622621
2022-08-24,908858.7577791674,901166.5345366508
2022-08-25,920225.727615822,909982.9966019897
2022-08-26,887700.6458859637,882420.3549626165
2022-08-29,879662.5496109392,877379.7683587316
2022-08-30,874103.0075293963,868957.7210641939
2022-08-31,869731.3032130663,861292.3116346485
2022-09-01,869502.7299348833,865282.7448876362
2022-09-02,856623.8367658312,856044.5344886034
2022-09-06,849278.4320797351,851312.037711775
2022-09-07,865263.152027817,863228.8838884128
2022-09-08,869882.6433161624,868510.8279880736
2022-09-09,886496.9849375613,878820.8130133385
2022-09-12,892315.2013583529,885097.389164271
2022-09-13,847204.0885802767,850209.6729848838
2022-09-14,847763.4615784762,851032.9364094269
2022-09-15,831012.0822914355,846296.8627796419
2022-09-16,828262.825895119,842486.5534352469
2022-09-19,829029.213162575,847878.3656451281
2022-09-20,820908.3163618243,839310.6817108035
2022-09-21,807747.3452959216,825030.2297460701
2022-09-22,811081.4435484698,822102.8158374507
2022-09-23,800920.8508432544,808811.3370222966
2022-09-26,797368.4815108111,799802.2053700841
2022-09-27,793536.3799287035,796363.0879452047
2022-09-28,809182.7205302661,811362.3805824933
2022-09-29,797121.2033170855,798840.0319247473
2022-09-30,782188.9499188006,785170.5277993546
2022-10-03,807757.8898128436,806091.1136558373
2022-10-04,834940.0253566669,828653.047932499
2022-10-05,834569.6166614764,827492.706156191
2022-10-06,825411.5747963336,818009.881723616
2022-10-07,788830.1634807056,800785.6263897007
2022-10-10,774313.0052684405,798218.780613457
2022-10-11,763295.9549741137,799211.2238442628
2022-10-12,765587.2250251544,798436.5949427569
2022-10-13,795623.4395990069,821065.2615506992
2022-10-14,780982.6197254871,810025.4917505492
2022-10-17,811116.5444764941,825086.0179750208
2022-10-18,816275.8028777087,834324.2283740534
2022-10-19,808651.9381593707,831591.1390141231
2022-10-20,807319.8950494616,829125.0857510457
2022-10-21,828918.8648932498,849597.1235695925
2022-10-24,843874.6944812167,860996.8208717378
2022-10-25,854474.9818701937,870211.5414901597
2022-10-26,798668.238709656,870276.2985444344
2022-10-27,785991.9781897129,875583.6543158469
2022-10-28,812408.3029399111,898230.0984168422
2022-10-31,801747.3005545428,894708.1261294447
2022-11-01,792862.5891823352,892528.2744887637
2022-11-02,768868.7089447101,878712.8134083939
2022-11-03,751858.3045420917,874708.1795153097
2022-11-04,774784.1576931232,885695.4710101407
2022-11-07,793848.582783234,897278.8690738353
2022-11-08,799546.5621152652,906403.5811238257
2022-11-09,785448.2920423434,888721.8089266506
2022-11-10,842597.8795926593,921561.216236777
2022-11-11,854595.9326790851,922449.2367155949
2022-11-14,837555.4744338916,916677.4773043342
2022-11-15,837929.4128178791,918214.2428149299
2022-11-16,839109.5859058307,917145.6713405991
2022-11-17,838408.3619698565,916940.4560754449
2022-11-18,838139.0037971577,922389.9784054176
2022-11-21,839879.4490928119,921148.7570435975
2022-11-22,849445.8716315082,932022.6035752513
2022-11-23,856774.4569652332,934645.451123906
2022-11-25,856865.6140336536,938826.7388443562
2022-11-28,838935.3185892109,925226.3694141703
2022-11-29,837268.6749082416,925310.2919939887
2022-11-30,879842.1325306324,945461.6409213332
2022-12-01,876489.4029041675,940138.2160045485
2022-12-02,876234.5401773761,941091.2604669661
2022-12-05,858414.4397479023,927895.2355784759
2022-12-06,843922.1302693408,918307.6680787228
2022-12-07,841669.8745696339,918350.9106293927
2022-12-08,851818.0749896549,923368.2209961268
2022-12-09,845480.137015839,915030.950455248
2022-12-12,867569.9476755222,929478.8738785632
2022-12-13,879254.8379789738,932310.6737029237
2022-12-14,879173.4179806674,928421.4066641575
2022-12-15,852591.9491899876,907534.9343754255
2022-12-16,839608.5608639454,899833.4894869885
2022-12-19,828757.2286009907,895380.2541701033
2022-12-20,833245.3355599827,897900.3873144508
2022-12-21,842407.9300881809,912298.1280246429
2022-12-22,823527.3144691776,902758.928118602
2022-12-23,825585.365136002,907581.7003931869
2022-12-27,821154.1186146244,908610.2324687493
2022-12-28,815051.60959668,898610.3125475467
2022-12-29,833813.1308801121,908042.8474952687
2022-12-30,831616.2917035373,906032.4425901753
2023-01-03,831844.5175989994,905735.0833219888
2023-01-04,805076.0205134281,909381.3379031633
2023-01-05,786579.2913105473,900096.3614863693
2023-01-06,797921.2704494175,919244.376466443
2023-01-09,802224.3687317966,916156.751576885
2023-01-10,808596.3551621098,921253.1797955856
2023-01-11,828442.4492020268,928603.4524638911
2023-01-12,835208.2770429691,934533.6611225446
2023-01-13,841949.9815866704,937612.5307302385
2023-01-17,841659.5827362675,926904.3939236209
2023-01-18,824937.6813111881,910124.5759160346
2023-01-19,812341.0524166416,903225.5205789164
2023-01-20,834502.4458568882,912271.0080052104
2023-01-23,842889.677603104,919215.6548710598
2023-01-24,843159.9919873661,922069.3429000804
2023-01-25,840442.4285640264,922339.3686053744
2023-01-26,859937.295895493,927958.3376709349
2023-01-27,864641.2190321964,928741.9353977648
2023-01-30,863776.6978627476,921608.1957979986
2023-01-31,863776.6978627476,931692.8924728599
2023-02-01,863475.0345219884,931882.0919785068
2023-02-02,864270.4692314763,930815.549167047
2023-02-03,863943.6658236394,927318.7750079412
2023-02-06,863716.4569975286,926362.3138501619
2023-02-07,864015.1306045079,933624.0727542569
2023-02-08,863744.2200757603,927947.4469544699
2023-02-09,863389.4823010714,921137.7595554026
2023-02-10,863590.5463030245,925767.8088572489
2023-02-13,864753.1060755466,936063.272927227
2023-02-14,864317.535505234,931781.1926936104
2023-02-15,864990.3955025027,932841.2224295373
2023-02-16,862578.0777401584,921055.0114646145
2023-02-17,862490.059615189,924603.9969997144
2023-02-21,858463.1895682226,905549.7275986237
2023-02-22,857890.458587235,903240.041534203
2023-02-23,858711.3031531377,906214.488389909
2023-02-24,857285.4118502965,897003.3980103089
2023-02-27,857877.3503534247,898976.0057229648
2023-02-28,857654.9347635655,892623.9419588875
2023-03-01,857485.2469104772,892764.453555632
2023-03-02,857299.0759631657,902105.1648155118
2023-03-03,861106.4981365056,912694.1443713948
2023-03-06,862580.5390662847,913800.4062664328
2023-03-07,860126.1525356756,898084.1414618652
2023-03-08,860472.9845869145,896497.0864664163
2023-03-09,858651.1810388798,881640.2273170133
2023-03-10,857965.9445624241,872204.1689021997
2023-03-13,859425.7520343481,869730.4814604238
2023-03-14,861396.022766236,878921.6589123697
2023-03-15,861240.2161876991,871245.5723098196
2023-03-16,862614.7695198371,881413.1238471989
2023-03-17,861256.1054071814,870901.4470238715
2023-03-20,862413.9439553535,881359.2575093893
2023-03-21,863554.0083543556,889997.1972420863
2023-03-22,862354.307031571,875497.0090569119
2023-03-23,863071.1335449987,877550.8700561352
2023-03-24,864087.4374453282,881166.5345366508
2023-03-27,863188.242526749,886484.3005517429
2023-03-28,862937.9332691807,885450.2697320831
2023-03-29,864382.174330231,894288.566616217
2023-03-30,864372.587983147,898154.3972602374
2023-03-31,865261.0631394733,909501.0290125484
2023-04-03,865354.0300634083,918439.1040784131
2023-04-04,864695.1408209462,913006.0245948681
2023-04-05,864795.2656073231,915201.9987667865
2023-04-06,865700.4766596303,915272.2545651589
2023-04-10,863543.6989412771,918039.2439493795
2023-04-11,861431.7976351248,920725.3003622231
2023-04-12,860214.1219744191,919678.7238642824
2023-04-13,868925.5615824207,930152.7102669026
2023-04-14,874822.8163424,926237.9247846548
2023-04-17,876301.888696526,928990.713528779
2023-04-18,877260.8924150929,928702.3230859165
2023-04-19,878456.5280901417,926526.1016840572
2023-04-20,871955.0512091602,923508.7325928714
2023-04-21,869823.8597723927,924119.3601170218
2023-04-24,867281.8509375538,925935.3337016958
2023-04-25,856120.7572028126,916516.9993940704
2023-04-26,865643.1878210987,910258.7879807063
2023-04-27,883542.4153296436,924589.4760444277
2023-04-28,888174.2491919483,932024.2051512022
2023-05-01,889436.2991492237,930754.2621939989
2023-05-02,882347.0122687306,920718.2534280398
2023-05-03,869936.1452948536,913330.183567297
2023-05-04,869139.0901038136,905499.1177985806
2023-05-05,890710.2477118458,920440.7537016425
2023-05-08,887327.9046790089,918918.6159180633
2023-05-09,882802.6603705372,917363.8059850894
2023-05-10,889552.5827795948,916530.6661755167
