date,AAPL,AMGN,AXP,JPM,MSFT
2023-07-07,-9,-100,-6,32,0
2023-07-10,46,-100,45,-100,0
2023-07-11,28,-100,-100,-100,0
2023-07-12,-29,-49,-16,-91,0
2023-07-13,-75,-17,0,80,0
2023-07-14,-70,100,0,35,100
2023-07-17,-46,-48,0,83,6
2023-07-18,100,16,0,-94,-100
2023-07-19,-6,100,21,94,12
2023-07-20,-52,-20,87,69,100
2023-07-21,-100,89,-55,100,37
2023-07-24,-57,54,-36,30,0
2023-07-25,-100,-32,100,-64,34
2023-07-26,-78,-100,22,-3,100
2023-07-27,20,-100,37,100,-29
2023-07-28,83,-59,54,0,-9
2023-07-31,0,1,-100,0,74
2023-08-01,0,0,-43,-3,23
2023-08-02,-13,-1,-87,-100,-22
2023-08-03,-31,100,3,-100,-49
2023-08-04,-100,-37,-3,-72,-65
2023-08-07,100,95,0,-100,100
2023-08-08,-100,78,100,-65,-80
2023-08-09,24,89,85,100,-1
2023-08-10,-100,-100,59,100,83
2023-08-11,0,-4,-28,91,0
2023-08-14,0,65,-100,0,0
2023-08-15,62,-100,0,100,0
2023-08-16,100,1,-100,-13,0
2023-08-17,-46,-49,0,-42,85
2023-08-18,0,57,0,-100,0
2023-08-21,-100,15,-16,68,-100
2023-08-22,-56,-98,6,71,41
2023-08-23,-94,100,-6,-13,-52
2023-08-24,-65,14,0,-100,-15
2023-08-25,-100,-62,0,18,-100
2023-08-28,66,-83,0,100,7
2023-08-29,-51,-43,0,-100,100
2023-08-30,-30,7,100,25,100
2023-08-31,-100,-44,-44,100,9
2023-09-01,-100,-1,-34,-72,-100
2023-09-05,-18,66,19,100,-97
2023-09-06,-44,-66,33,81,100
2023-09-07,100,0,100,-36,94
2023-09-08,-100,100,38,-14,-28
2023-09-11,52,34,27,24,-9
2023-09-12,-100,10,-90,-9,7
2023-09-13,58,-24,-11,100,-82
2023-09-14,-37,-100,-100,31,-24
2023-09-15,23,100,49,60,71
2023-09-18,88,-33,-87,-36,-44
2023-09-19,34,-33,62,100,21
2023-09-20,23,-54,-62,-35,22
2023-09-21,42,0,22,3,-3
2023-09-22,24,100,-22,-42,100
2023-09-25,100,-100,39,-100,-38
2023-09-26,-3,0,-39,-88,62
2023-09-27,57,0,0,-100,11
2023-09-28,16,0,0,67,1
2023-09-29,-100,37,93,34,100
2023-10-02,23,40,23,22,-100
2023-10-03,92,-34,72,-100,5
