account_rewards,date
-732.9173773346702,2023-07-07
4994.580881439266,2023-07-10
5865.460983947734,2023-07-11
3559.233437744202,2023-07-12
2611.5170680846786,2023-07-13
16501.54006690986,2023-07-14
1858.4350982360775,2023-07-17
4417.050097106956,2023-07-18
756.9096979522146,2023-07-19
-6803.750741866999,2023-07-20
10485.417481628363,2023-07-21
-843.3738709716126,2023-07-24
1884.3793673705077,2023-07-25
-9758.269994933973,2023-07-26
9638.178555313032,2023-07-27
4379.110456329421,2023-07-28
-3689.531044647214,2023-07-31
-14311.865443496732,2023-08-01
-331.07834967039526,2023-08-02
-16629.119894561823,2023-08-03
-2595.593473922694,2023-08-04
-589.7897496795049,2023-08-07
-9546.964122970589,2023-08-08
-64.9220306702191,2023-08-09
2304.7081506957766,2023-08-10
4493.226160934544,2023-08-11
-14090.292799758958,2023-08-14
-3990.9480481261853,2023-08-15
-10194.547147048987,2023-08-16
1350.7886376647511,2023-08-17
5746.649608978303,2023-08-18
-6746.069191955496,2023-08-21
10732.838470458984,2023-08-22
-10061.87939796457,2023-08-23
3590.704018432647,2023-08-24
3703.893672302249,2023-08-25
10235.485274505569,2023-08-28
3328.13556204224,2023-08-29
-5509.4033648833865,2023-08-30
3843.319562438992,2023-08-31
-2908.6452842102153,2023-09-01
-9251.316606201231,2023-09-05
-10755.791851272574,2023-09-06
2804.2605994873447,2023-09-07
4735.691939697252,2023-09-08
-249.55602534487844,2023-09-11
-907.6886813964229,2023-09-12
12013.368684524437,2023-09-13
-4286.6931283568265,2023-09-14
3787.1062660674797,2023-09-15
671.3215630339691,2023-09-18
-8607.471761810244,2023-09-19
-6084.597215332091,2023-09-20
-4183.944059997564,2023-09-21
4037.35187704477,2023-09-22
-12704.068986267084,2023-09-25
558.7976896362379,2023-09-26
5886.606709060608,2023-09-27
-5753.802424560534,2023-09-28
3080.2247547759907,2023-09-29
-9826.985237365705,2023-10-02
6719.487355834921,2023-10-03
