date,AAPL,AMGN,AXP,JPM,MSFT
2022-10-04,1,0,0,0,0
2022-10-05,-1,0,1,0,0
2022-10-06,0,-5,0,0,4
2022-10-07,0,-100,-1,0,23
2022-10-10,0,-2,1,0,75
2022-10-11,0,0,0,0,0
2022-10-12,0,-16,81,0,-32
2022-10-13,1,46,-80,0,0
2022-10-14,0,0,-2,9,-3
2022-10-17,-1,-46,80,0,0
2022-10-18,0,0,-80,2,48
2022-10-19,0,-61,0,-11,-21
2022-10-20,0,0,0,89,45
2022-10-21,0,-100,0,1,100
2022-10-24,0,-100,41,58,19
2022-10-25,0,-12,-41,-100,74
2022-10-26,0,-55,100,30,-86
2022-10-27,36,-100,24,-49,83
2022-10-28,100,80,-88,0,-18
2022-10-31,-100,44,-36,-29,100
2022-11-01,0,0,0,1,0
2022-11-02,1,0,0,-1,0
2022-11-03,-37,0,37,0,0
2022-11-04,0,0,0,0,0
2022-11-07,10,-38,74,0,-99
2022-11-08,-10,37,-77,0,100
2022-11-09,0,0,0,0,0
2022-11-10,0,13,-34,100,-89
2022-11-11,0,-100,0,-100,100
2022-11-14,0,-14,0,0,100
2022-11-15,0,0,0,0,23
2022-11-16,0,-38,20,100,-23
2022-11-17,0,10,-20,1,0
2022-11-18,24,-100,0,0,100
2022-11-21,29,-23,100,-100,0
2022-11-22,100,0,0,71,-100
2022-11-23,-23,-31,0,90,0
2022-11-25,61,24,-100,75,-45
2022-11-28,0,0,0,0,3
2022-11-29,100,3,0,66,-100
2022-11-30,-52,16,0,58,-17
2022-12-01,0,2,100,-8,-60
2022-12-02,62,-100,-5,34,0
2022-12-05,6,4,-72,-80,93
2022-12-06,-46,84,-23,-17,0
2022-12-07,-60,42,0,-25,0
2022-12-08,-25,32,0,-74,4
2022-12-09,-30,-64,37,100,20
2022-12-12,100,-88,-37,-86,17
2022-12-13,-100,49,100,10,-21
2022-12-14,79,-87,-57,-85,2
2022-12-15,-100,100,-43,0,-100
2022-12-16,80,100,0,16,100
2022-12-19,-100,40,0,42,-23
2022-12-20,-68,-100,47,-86,51
2022-12-21,52,100,2,72,-100
2022-12-22,2,-100,-49,-100,100
2022-12-23,100,37,0,-56,16
2022-12-27,-43,-9,0,1,-100
2022-12-28,100,62,0,-19,7
2022-12-29,0,68,0,0,0
2022-12-30,-83,-100,0,100,-57
