account_rewards,date
20722.81527862535,2023-10-05
7624.999858093448,2023-10-06
212.81160278315656,2023-10-09
17959.583959960844,2023-10-10
-1065.5602325438522,2023-10-11
-763.8884246826638,2023-10-12
7679.540684509324,2023-10-13
-2301.7438461305574,2023-10-16
-10688.710020446684,2023-10-17
-4359.633671569871,2023-10-18
-23357.647906494094,2023-10-19
-492.93962402339093,2023-10-20
1291.7077510985546,2023-10-23
-3591.8243148804177,2023-10-24
-8792.460581970168,2023-10-25
-18310.50902252202,2023-10-26
13545.909069824265,2023-10-27
12112.770616149995,2023-10-30
6455.782530212309,2023-10-31
26018.450921691954,2023-11-01
8286.577331542969,2023-11-02
9670.651672363281,2023-11-03
4845.542083740234,2023-11-06
4852.429504394531,2023-11-07
-3964.6895141601562,2023-11-08
20821.486083984375,2023-11-09
-5702.841705322266,2023-11-10
20844.791625976562,2023-11-13
11520.475128173828,2023-11-14
8965.923797607422,2023-11-15
12776.283874511719,2023-11-16
8075.198913574219,2023-11-17
-6217.325622558594,2023-11-20
5958.755523681641,2023-11-21
-492.39373779296875,2023-11-22
-2502.1354370117188,2023-11-24
6064.372253417969,2023-11-27
4754.7349853515625,2023-11-28
15060.124572753906,2023-11-29
11946.855194091797,2023-11-30
-384.0179443359375,2023-12-01
2223.5773315429688,2023-12-04
-15344.396087646484,2023-12-05
8096.301025390625,2023-12-06
8940.385772705078,2023-12-07
-2926.613250732422,2023-12-08
14159.535064697266,2023-12-11
16165.913818359375,2023-12-12
20700.336975097656,2023-12-13
7192.5233154296875,2023-12-14
5340.672698974609,2023-12-15
16955.869750976562,2023-12-18
-22466.320281982422,2023-12-19
12317.046600341797,2023-12-20
-813.5061950683594,2023-12-21
3480.512969970703,2023-12-22
6396.091125488281,2023-12-26
5850.991851806641,2023-12-27
-3839.1038513183594,2023-12-28
-4108.1983642578125,2023-12-29
-9922.642822265625,2024-01-02
2742.730987548828,2024-01-03
