account_value,date,daily_return
1062530.15372229,2023-04-05,
1070841.9513813094,2023-04-06,0.007822646378459197
1069082.5444824905,2023-04-10,-0.0016430126747923879
1059750.371645317,2023-04-11,-0.008729141529189355
1053996.8846952133,2023-04-12,-0.005429096421236568
1070961.19938694,2023-04-13,0.01609522280194642
1066072.8438428573,2023-04-14,-0.004564456253766336
1069578.2030378648,2023-04-17,0.003288104762496191
1068737.03910363,2023-04-18,-0.0007864445365899364
1069944.9771274948,2023-04-19,0.001130248114987964
1060643.0190679703,2023-04-20,-0.008693865814013768
1061199.1570835342,2023-04-21,0.0005243404289339004
1049751.4553440323,2023-04-24,-0.010787514919408103
1031502.0984830856,2023-04-25,-0.017384454927919846
1054249.4953778,2023-04-26,0.02205269085556516
1076202.9893605271,2023-04-27,0.020823812654384932
1085773.7462387925,2023-04-28,0.008893077767747393
1079051.9335481187,2023-05-01,-0.006190804220454593
1062802.7293875352,2023-05-02,-0.015058778595718803
1052367.6277681198,2023-05-03,-0.009818474615161055
1048907.1096281053,2023-05-04,-0.0032883167903535737
1070997.318110344,2023-05-05,0.021060214273951106
1066911.690298851,2023-05-08,-0.00381478808807989
1064073.9466890641,2023-05-09,-0.0026597736584853537
1063193.85556028,2023-05-10,-0.0008270958343851165
1056761.4376289903,2023-05-11,-0.006050089452313334
1055074.1176296312,2023-05-12,-0.0015966896020968013
1060170.2070638353,2023-05-15,0.004830077194627025
1056265.9955487747,2023-05-16,-0.0036826270810547124
1067604.853680031,2023-05-17,0.010734851049867489
1076951.4045927965,2023-05-18,0.008754691289148742
1074878.797377617,2023-05-19,-0.0019245132197612813
1084107.2717672654,2023-05-22,0.008585595336109586
1068129.3607453234,2023-05-23,-0.01473831182397245
1059655.0074675523,2023-05-24,-0.007933826734111804
1080293.8917546617,2023-05-25,0.019476984623923776
1102973.5705144883,2023-05-26,0.020993989629052967
1102337.8578649065,2023-05-30,-0.0005763625408405915
1098978.520160805,2023-05-31,-0.003047466509594643
1109080.311621544,2023-06-01,0.009191982623337314
1126224.2380459062,2023-06-02,0.015457786279964525
1127313.5228681718,2023-06-05,0.0009672006563770097
1129467.175495125,2023-06-06,0.0019104291603577739
1111312.1769922716,2023-06-07,-0.016073949643463314
1113683.7694741136,2023-06-08,0.0021340470580109017
1115972.4227221147,2023-06-09,0.0020550297227388548
1126406.9148703385,2023-06-12,0.009350134408135036
1135830.9330335313,2023-06-13,0.008366442036870536
1139705.4752321702,2023-06-14,0.003411196231723368
1160250.5952529986,2023-06-15,0.01802669239317578
1149708.1853178637,2023-06-16,-0.009086321505257344
1138876.9535690385,2023-06-20,-0.009420852949594827
1129481.4801344834,2023-06-21,-0.008249770447203542
1140488.1071524126,2023-06-22,0.009744849483161788
1131259.23538398,2023-06-23,-0.008092036831033211
1118487.4961673967,2023-06-26,-0.01128984305020786
1127871.9865622483,2023-06-27,0.008390340014536202
1130210.3461740648,2023-06-28,0.0020732491272734688
1131968.877105492,2023-06-29,0.0015559324309675215
1143984.979321465,2023-06-30,0.010615223138200403
1142941.4991451495,2023-07-03,-0.0009121449976854379
1143574.682187874,2023-07-05,0.0005539942710963697
1142551.7682479632,2023-07-06,-0.0008944880958311474
