account_value,date,daily_return
798966.810673157,2022-07-06,
816987.637312134,2022-07-07,0.0225551629908054
818193.6747039797,2022-07-08,0.00147620029577622
809677.8006050113,2022-07-11,-0.010408139737879907
803691.7521707461,2022-07-12,-0.007393124067119339
801347.7591137699,2022-07-13,-0.002916532427569618
782136.7371345065,2022-07-14,-0.023973389531293354
814557.7385740359,2022-07-15,0.041451833036649566
810467.9605625918,2022-07-18,-0.005020857107813748
836364.2269225466,2022-07-19,0.03195223947159964
841141.6434061435,2022-07-20,0.005712124370952143
847964.0031783603,2022-07-21,0.00811083344368746
853749.5478581699,2022-07-22,0.006822865897755159
856309.9415726322,2022-07-25,0.0029989986183718287
836208.9289577487,2022-07-26,-0.023473991879584544
855601.7408157504,2022-07-27,0.023191347504711413
861604.1949889224,2022-07-28,0.007015476812201271
871539.2662512821,2022-07-29,0.011530899362075742
865614.5319283145,2022-08-01,-0.00679801192257401
855126.7680464785,2022-08-02,-0.01211597483058946
875221.2987073825,2022-08-03,0.023498890938485673
879433.8175410922,2022-08-04,0.004813089946429594
884398.9013151706,2022-08-05,0.005645773081550232
879866.5603328098,2022-08-08,-0.005124770028118286
887573.9850505069,2022-08-09,0.008759765474871228
908567.1467425235,2022-08-10,0.023652294958624864
909253.4241949924,2022-08-11,0.0007553403784512636
924925.0431209567,2022-08-12,0.017235699650885783
925394.4967717441,2022-08-15,0.0005075585900489177
924769.5211046299,2022-08-16,-0.0006753613397253444
918818.9502104648,2022-08-17,-0.006434652914444228
919604.1221857761,2022-08-18,0.0008545448209698048
906297.2629433902,2022-08-19,-0.0144702039946899
880394.0637153323,2022-08-22,-0.028581349946850576
877453.1186164554,2022-08-23,-0.0033404871978190975
882420.4294379886,2022-08-24,0.005661055520966851
896533.6505531009,2022-08-25,0.015993760620548025
866283.2922614749,2022-08-26,-0.03374146444248194
853505.2202705081,2022-08-29,-0.014750454158718673
850888.4341376956,2022-08-30,-0.003065928679361951
840275.3844245608,2022-08-31,-0.012472903952314485
835968.9568275149,2022-09-01,-0.005125019341123527
825920.3138526614,2022-09-02,-0.012020354216247364
818327.8075507815,2022-09-06,-0.009192783098484703
836590.1936286624,2022-09-07,0.022316712091868585
841276.6792396243,2022-09-08,0.005601889248348257
865116.694452637,2022-09-09,0.02833790095615174
881021.1709998782,2022-09-12,0.018384197934480984
838521.1950019534,2022-09-13,-0.04823944917202294
841904.966516846,2022-09-14,0.004035403678597227
832257.398737305,2022-09-15,-0.011459212337771585
821524.6199744876,2022-09-16,-0.012895984798814708
828618.9495032962,2022-09-19,0.008635565333427131
819775.0089667971,2022-09-20,-0.010673109203935494
799666.0675910647,2022-09-21,-0.02452982971642026
783963.4197486575,2022-09-22,-0.01963650638535941
770919.282129639,2022-09-23,-0.01663870697334391
761190.2078956302,2022-09-26,-0.012620094554040118
759936.7359412845,2022-09-27,-0.001646726325882475
776080.5403999026,2022-09-28,0.021243616336854565
762358.234888428,2022-09-29,-0.017681548237768907
746909.7546485598,2022-09-30,-0.020264069479263958
773892.1005958255,2022-10-03,0.03612530935542746
