date,AAPL,AMGN,AXP,JPM,MSFT
2023-01-04,0,-100,0,20,100
2023-01-05,100,-100,0,100,-100
2023-01-06,100,-100,0,100,0
2023-01-09,100,-100,0,100,0
2023-01-10,100,-100,0,100,0
2023-01-11,100,-100,0,100,86
2023-01-12,0,-100,0,21,100
2023-01-13,91,-100,0,100,0
2023-01-17,100,-100,0,100,-100
2023-01-18,100,-100,0,100,-86
2023-01-19,100,-100,0,100,43
2023-01-20,100,-100,0,100,100
2023-01-23,100,-100,0,100,-100
2023-01-24,100,-100,0,100,-43
2023-01-25,100,-100,0,100,0
2023-01-26,100,-100,0,100,15
2023-01-27,-1391,-1554,0,-1441,-15
2023-01-30,100,0,0,100,75
2023-01-31,100,0,0,100,-75
2023-02-01,100,0,0,100,0
2023-02-02,100,0,0,100,100
2023-02-03,100,0,0,100,100
2023-02-06,100,0,0,100,100
2023-02-07,100,0,0,100,100
2023-02-08,100,0,0,100,100
2023-02-09,100,0,0,100,-100
2023-02-10,100,0,0,100,100
2023-02-13,100,0,0,100,59
2023-02-14,100,0,0,100,-100
2023-02-15,100,0,0,100,-100
2023-02-16,100,0,0,100,84
2023-02-17,100,0,0,100,100
2023-02-21,100,0,0,100,25
2023-02-22,100,0,0,100,-100
2023-02-23,100,0,0,100,-67
2023-02-24,100,0,0,100,-100
2023-02-27,100,0,0,100,-100
2023-02-28,100,0,0,100,100
2023-03-01,100,0,0,100,100
2023-03-02,100,0,0,100,-57
2023-03-03,100,0,0,100,-60
2023-03-06,100,0,0,100,-100
2023-03-07,0,0,0,78,100
2023-03-08,0,0,0,0,0
2023-03-09,0,0,0,0,0
2023-03-10,0,0,0,0,0
2023-03-13,0,0,0,0,0
2023-03-14,0,0,0,0,0
2023-03-15,0,0,0,0,0
2023-03-16,0,0,0,0,0
2023-03-17,0,0,0,0,0
2023-03-20,0,0,0,0,0
2023-03-21,0,0,0,0,0
2023-03-22,93,0,0,100,-100
2023-03-23,0,0,0,71,-32
2023-03-24,0,0,0,0,0
2023-03-27,0,0,0,0,0
2023-03-28,0,0,0,0,0
2023-03-29,0,0,0,0,0
2023-03-30,0,0,0,0,0
2023-03-31,0,0,0,41,-18
2023-04-03,0,0,0,0,0
