account_rewards,date
347.07790069573093,2022-01-03
-1860.5449935913784,2022-01-04
-453.63826751697343,2022-01-05
1376.2874450683594,2022-01-06
1075.3345993041294,2022-01-07
3734.6361038208706,2022-01-10
-767.5931488036877,2022-01-11
-4288.772917175316,2022-01-12
221.95822601311374,2022-01-13
-6874.4623519896995,2022-01-14
-11630.909346008208,2022-01-18
-5317.320338440011,2022-01-19
-6929.8806579589145,2022-01-20
-3020.674006652902,2022-01-21
16448.76407012937,2022-01-24
-802.8929214477539,2022-01-25
-296.6439605713822,2022-01-26
4099.7371841431595,2022-01-27
1510.026409912156,2022-01-28
1896.1531829833984,2022-01-31
968.4831741333473,2022-02-01
-4595.961293029832,2022-02-02
-280.7577026367653,2022-02-03
1993.8258270263905,2022-02-04
22753.002612304757,2022-02-07
156.85865783691406,2022-02-08
-14093.709147643996,2022-02-09
-9193.946897888323,2022-02-10
-1491.2430664061103,2022-02-11
12584.65617523191,2022-02-14
-1630.133782958961,2022-02-15
-11485.932554626488,2022-02-16
-5534.270689392113,2022-02-17
-8268.850384979276,2022-02-18
-13911.778182983398,2022-02-22
646.4092864990234,2022-02-23
25446.97705078125,2022-02-24
1018.6615753173828,2022-02-25
-34113.08285522461,2022-02-28
15038.617431640625,2022-03-01
5245.660430908203,2022-03-02
-16851.210174560547,2022-03-03
-28346.994018554688,2022-03-04
-6776.247037948575,2022-03-07
24898.694625854492,2022-03-08
-13060.125503540039,2022-03-09
-6280.638626098633,2022-03-10
2234.128936767578,2022-03-11
16995.124069213867,2022-03-14
15742.016372680664,2022-03-15
19627.384506225586,2022-03-16
12842.107696533203,2022-03-17
-387.7115783691406,2022-03-18
9945.721221923828,2022-03-21
-10655.52377319336,2022-03-22
15853.268676757812,2022-03-23
6624.192687988281,2022-03-24
3174.632598876953,2022-03-25
9544.982131958008,2022-03-28
-2404.0525512695312,2022-03-29
-11353.570510864258,2022-03-30
1890.9714965820312,2022-03-31
