account_rewards,date
-3015.5559997558594,2022-10-04
-9397.075373840285,2022-10-05
-23540.766827392625,2022-10-06
-7781.232342529227,2022-10-07
2618.035748291062,2022-10-10
-854.8658432007069,2022-10-11
22518.576686096145,2022-10-12
-15066.662332153297,2022-10-13
16469.38106231694,2022-10-14
9601.540879821754,2022-10-17
-9060.499247741769,2022-10-18
-4169.088584899902,2022-10-19
1080.0679641724564,2022-10-20
15442.916959899943,2022-10-21
7649.020254516508,2022-10-24
9890.138665771578,2022-10-25
1025.4185104370117,2022-10-26
16391.01856384275,2022-10-27
-9060.227079772973,2022-10-28
1452.674487304641,2022-10-31
-10399.102522277739,2022-11-01
-11170.725048828172,2022-11-02
12255.852381897043,2022-11-03
20223.58347015374,2022-11-04
39121.99074859626,2022-11-07
-9858.88989410398,2022-11-08
8790.897869872977,2022-11-09
-15947.108195495559,2022-11-10
424.147007751395,2022-11-11
-4942.707245849539,2022-11-14
5845.770967407152,2022-11-15
10233.68949539191,2022-11-16
-39.64758172607981,2022-11-17
2628.1446929168887,2022-11-18
-3357.4776611328125,2022-11-21
-11040.155029296875,2022-11-22
1028.5535888671875,2022-11-23
-3387.700927734375,2022-11-25
-1905.6058349609375,2022-11-28
13338.952087402344,2022-11-29
-1391.2327880859375,2022-11-30
-1300.7554931640625,2022-12-01
-1814.8397827148438,2022-12-02
-4900.019287109375,2022-12-05
7471.018249511719,2022-12-06
-574.6270751953125,2022-12-07
-20930.95965576172,2022-12-08
-5656.274719238281,2022-12-09
-13671.504272460938,2022-12-12
-3417.9241943359375,2022-12-13
-15093.249084472656,2022-12-14
3841.242431640625,2022-12-15
-5172.124938964844,2022-12-16
-2873.4722595214844,2022-12-19
4567.467102050781,2022-12-20
-3024.7810974121094,2022-12-21
-4053.2384338378906,2022-12-22
-1602.9881591796875,2022-12-23
-5958.6036376953125,2022-12-27
5262.8909912109375,2022-12-28
-1572.764892578125,2022-12-29
-2994.60595703125,2022-12-30
