date,ensemble,date,account_value,dji
2022-12-28,790821.1474416661,,,898610.3125475467
2022-12-29,796084.038432877,,,908042.8474952687
2022-12-30,794511.2735402989,,,906032.4425901753
2023-01-03,791516.6675832677,,,905735.0833219888
2023-01-04,799804.4359243321,,,909381.3379031633
2023-01-05,806315.41267421,,,900096.3614863693
2023-01-06,830627.7374392247,,,919244.376466443
2023-01-09,816654.4865572667,,,916156.751576885
2023-01-10,827088.3304262853,,,921253.1797955856
2023-01-11,826083.7385729527,,,928603.4524638911
2023-01-12,821259.2099980321,,,934533.6611225446
2023-01-13,825767.3552181554,,,937612.5307302385
2023-01-17,820021.9228089757,,,926904.3939236209
2023-01-18,805137.6260163732,,,910124.5759160346
2023-01-19,798749.4588670506,,,903225.5205789164
2023-01-20,804026.6498681493,,,912271.0080052104
2023-01-23,805436.4374078221,,,919215.6548710598
2023-01-24,805926.691190476,,,922069.3429000804
2023-01-25,800564.2831876836,,,922339.3686053744
2023-01-26,801692.8494749151,,,927958.3376709349
2023-01-27,803004.0250370489,,,928741.9353977648
2023-01-30,802224.1398842472,,,921608.1957979986
2023-01-31,802765.6521500248,,,931692.8924728599
2023-02-01,802873.8272255558,,,931882.0919785068
2023-02-02,804262.1969917911,,,930815.549167047
2023-02-03,805887.221262421,,,927318.7750079412
2023-02-06,804547.8911888736,,,926362.3138501619
2023-02-07,810445.4627541201,,,933624.0727542569
2023-02-08,807475.8789955752,,,927947.4469544699
2023-02-09,803321.0853691713,,,921137.7595554026
2023-02-10,803934.3115288393,,,925767.8088572489
2023-02-13,812258.3929344789,,,936063.272927227
2023-02-14,812646.0142897341,,,931781.1926936104
2023-02-15,814844.4171202395,,,932841.2224295373
2023-02-16,807637.9067396852,,,921055.0114646145
2023-02-17,804746.1067670899,,,924603.9969997144
2023-02-21,791909.7068265992,,,905549.7275986237
2023-02-22,790241.4284746246,,,903240.041534203
2023-02-23,794364.6671098786,,,906214.488389909
2023-02-24,789500.5990440369,,,897003.3980103089
2023-02-27,794287.1405525208,,,898976.0057229648
2023-02-28,795385.5802513123,,,892623.9419588875
2023-03-01,788371.873917389,,,892764.453555632
2023-03-02,788391.6443061829,,,902105.1648155118
2023-03-03,807280.4678245087,,,912694.1443713948
2023-03-06,812405.6245087739,,,913800.4062664328
2023-03-07,796100.7283600923,,,898084.1414618652
2023-03-08,797041.077096695,,,896497.0864664163
2023-03-09,772284.745858902,,,881640.2273170133
2023-03-10,774333.0344026032,,,872204.1689021997
2023-03-13,774717.8854615631,,,869730.4814604238
2023-03-14,790371.5719087067,,,878921.6589123697
2023-03-15,776735.3415925446,,,871245.5723098196
2023-03-16,793119.3037354889,,,881413.1238471989
2023-03-17,779533.7295777741,,,870901.4470238715
2023-03-20,786807.2157380524,,,881359.2575093893
2023-03-21,800465.789407486,,,889997.1972420863
2023-03-22,787993.7227265778,,,875497.0090569119
2023-03-23,790871.648376648,,,877550.8700561352
2023-03-24,789539.2060435029,,,881166.5345366508
2023-03-27,793394.5803721162,,,886484.3005517429
2023-03-28,792638.6196558686,,,885450.2697320831
2023-03-29,802176.7855799409,,,894288.566616217
2023-03-30,805769.0955012055,,,898154.3972602374
2023-03-31,817130.4066279145,,,909501.0290125484
2023-04-03,819846.6268552857,,,918439.1040784131
2023-04-04,813727.3881773072,,,913006.0245948681
2023-04-05,809046.144845398,,,915201.9987667865
2023-04-06,811210.1794341889,,,915272.2545651589
2023-04-10,805171.393620865,,,918039.2439493795
2023-04-11,803503.2743988953,,,920725.3003622231
2023-04-12,801456.5836662904,,,919678.7238642824
2023-04-13,817332.0523445435,,,930152.7102669026
2023-04-14,840502.0059656983,,,926237.9247846548
2023-04-17,843309.2263259889,,,928990.713528779
2023-04-18,850406.6416136323,,,928702.3230859165
2023-04-19,853066.4567032624,,,926526.1016840572
2023-04-20,849182.9017434083,,,923508.7325928714
