,account_value,date,daily_return,datadate
0,1000000.0,2022-01-03,,2022-01-03
1,999244.3187942504,2022-01-04,-0.0007556812057495,2022-01-04
2,995251.1622314454,2022-01-05,-0.003996176398204,2022-01-05
3,993590.1622772218,2022-01-06,-0.0016689254102446,2022-01-06
4,994439.7103134156,2022-01-07,0.0008550286309667,2022-01-07
5,995925.0578445436,2022-01-10,0.0014936526726792,2022-01-10
6,999106.7711593627,2022-01-11,0.0031947316615423,2022-01-11
7,1001201.9151245118,2022-01-12,0.0020970170812852,2022-01-12
8,987254.0816650392,2022-01-13,-0.0139310894723347,2022-01-13
9,996504.9632110598,2022-01-14,0.009370314813405,2022-01-14
10,984383.7842025758,2022-01-18,-0.0121636915579683,2022-01-18
11,978583.9016220092,2022-01-19,-0.0058918916317427,2022-01-19
12,971765.9045471192,2022-01-20,-0.0069672074756075,2022-01-20
13,960479.55368042,2022-01-21,-0.0116142692534156,2022-01-21
14,957653.3630142212,2022-01-24,-0.0029424787392601,2022-01-24
15,942116.7184113312,2022-01-25,-0.0162236621338521,2022-01-25
16,941174.6480844116,2022-01-26,-0.0009999507582331,2022-01-26
17,941505.226117859,2022-01-27,0.0003512398406821,2022-01-27
18,946239.7262704468,2022-01-28,0.0050286498908878,2022-01-28
19,947731.6681237796,2022-01-31,0.0015767059994542,2022-01-31
20,947297.9372964478,2022-02-01,-0.0004576515082483,2022-02-01
21,950256.0732003785,2022-02-02,0.003122709115543,2022-02-02
22,938536.406458435,2022-02-03,-0.0123331668930803,2022-02-03
23,940230.2781121826,2022-02-04,0.0018048012225113,2022-02-04
24,936728.3567697144,2022-02-07,-0.0037245358121199,2022-02-07
25,957291.6443704223,2022-02-08,0.0219522420263011,2022-02-08
26,961622.7507730102,2022-02-09,0.0045243332353916,2022-02-09
27,938948.6365319825,2022-02-10,-0.0235790118555337,2022-02-10
28,925426.72217041,2022-02-11,-0.014401122527336,2022-02-11
29,923191.6940499878,2022-02-14,-0.0024151324647082,2022-02-14
30,935392.211874237,2022-02-15,0.0132155844803221,2022-02-15
31,932912.567861786,2022-02-16,-0.0026509136819545,2022-02-16
32,914700.532629242,2022-02-17,-0.0195216956657423,2022-02-17
33,907560.8756925964,2022-02-18,-0.0078054583789549,2022-02-18
34,904161.1163084412,2022-02-22,-0.00374604004559,2022-02-22
35,887743.5311338806,2022-02-23,-0.0181578093532612,2022-02-23
36,908704.2465574646,2022-02-24,0.0236112285682461,2022-02-24
37,925428.352071991,2022-02-25,0.0184043439632686,2022-02-25
38,927099.4344389344,2022-02-28,0.0018057393240675,2022-02-28
39,917606.451528778,2022-03-01,-0.0102394441820593,2022-03-01
40,933703.5879576112,2022-03-02,0.0175425275203922,2022-03-02
41,932710.626516571,2022-03-03,-0.0010634653800699,2022-03-03
42,920674.6536772156,2022-03-04,-0.0129042947482078,2022-03-04
43,902389.6030485536,2022-03-07,-0.0198604909515329,2022-03-07
44,891436.3602507019,2022-03-08,-0.0121380418844012,2022-03-08
45,916609.5298521424,2022-03-09,0.0282388858295625,2022-03-09
46,900814.3659269714,2022-03-10,-0.0172321620174719,2022-03-10
47,890692.8691007996,2022-03-11,-0.0112359407320913,2022-03-11
48,880724.5141508484,2022-03-14,-0.0111916860410196,2022-03-14
49,904463.1801817322,2022-03-15,0.0269535656717485,2022-03-15
50,920529.6855833436,2022-03-16,0.0177635814852994,2022-03-16
51,928536.7333280944,2022-03-17,0.0086983047588269,2022-03-17
52,940667.7460691832,2022-03-18,0.0130646557165363,2022-03-18
53,940869.576452484,2022-03-21,0.0002145607565946,2022-03-21
54,952365.370153656,2022-03-22,0.0122182648784503,2022-03-22
55,944918.0503141785,2022-03-23,-0.0078198137740728,2022-03-23
56,959906.1989653016,2022-03-24,0.0158618502907628,2022-03-24
57,962710.749716034,2022-03-25,0.0029216925088675,2022-03-25
58,975736.1162321472,2022-03-28,0.013529885814566,2022-03-28
59,988072.205297699,2022-03-29,0.0126428538006651,2022-03-29
60,985715.0362913512,2022-03-30,-0.0023856242425496,2022-03-30
61,972909.0796720886,2022-03-31,-0.0129915403009817,2022-03-31
62,975744.161169281,2022-04-01,0.0029140251195394,2022-04-01
63,991148.7626707458,2022-04-04,,2022-04-04
64,980930.2445906068,2022-04-05,-0.0103097723217697,2022-04-05
65,969134.3265386964,2022-04-06,-0.0120252363681918,2022-04-06
66,972789.5379911804,2022-04-07,0.0037716252044635,2022-04-07
67,968237.4799658204,2022-04-08,-0.0046793862881792,2022-04-08
68,949986.2402105712,2022-04-11,-0.0188499620525878,2022-04-11
69,946132.5826223756,2022-04-12,-0.0040565404266713,2022-04-12
70,953821.6767637634,2022-04-13,0.0081268675052668,2022-04-13
71,947015.340440216,2022-04-14,-0.0071358582944358,2022-04-14
72,951090.957765808,2022-04-18,0.004303644462293,2022-04-18
73,959341.3868544006,2022-04-19,0.0086747003756333,2022-04-19
74,961942.7372702028,2022-04-20,0.0027116003243972,2022-04-20
75,956312.5862394716,2022-04-21,-0.0058528962406935,2022-04-21
76,943668.9724645998,2022-04-22,-0.0132212144405529,2022-04-22
77,948388.0545427096,2022-04-25,0.005000781222874,2022-04-25
78,935055.1317819369,2022-04-26,-0.014058509801878,2022-04-26
79,931007.789793564,2022-04-27,-0.004328452784019,2022-04-27
80,941282.9149804842,2022-04-28,0.0110365619918157,2022-04-28
81,921703.7208261264,2022-04-29,-0.0208005413067161,2022-04-29
82,917915.5541757356,2022-05-02,-0.0041099613300848,2022-05-02
83,923735.2727884066,2022-05-03,0.0063401459820526,2022-05-03
