date,ensemble,date,account_value
2022-01-03,1000000.0,,
2022-01-04,1000347.0779006956,,
2022-01-05,998486.5329071044,,
2022-01-06,998032.8946395874,,
2022-01-07,999409.1820846556,,
2022-01-10,1000484.51668396,,
2022-01-11,1004219.1527877809,,
2022-01-12,1003451.559638977,,
2022-01-13,999162.7867218016,,
2022-01-14,999384.7449478148,,
2022-01-18,992510.2825958251,,
2022-01-19,980879.3732498168,,
2022-01-20,975562.0529113768,,
2022-01-21,968632.172253418,,
2022-01-24,965611.4982467652,,
2022-01-25,982060.2623168944,,
2022-01-26,981257.3693954468,,
2022-01-27,980960.7254348752,,
2022-01-28,985060.4626190184,,
2022-01-31,986570.4890289308,,
2022-02-01,988466.642211914,,
2022-02-02,989435.1253860474,,
2022-02-03,984839.1640930176,,
2022-02-04,984558.4063903808,,
2022-02-07,986552.2322174072,,
2022-02-08,1009305.234829712,,
2022-02-09,1009462.0934875488,,
2022-02-10,995368.3843399048,,
2022-02-11,986174.4374420166,,
2022-02-14,984683.1943756104,,
2022-02-15,997267.8505508424,,
2022-02-16,995637.7167678834,,
2022-02-17,984151.7842132568,,
2022-02-18,978617.5135238648,,
2022-02-22,970348.6631388856,,
2022-02-23,956436.884955902,,
2022-02-24,957083.2942424013,,
2022-02-25,982530.2712931824,,
2022-02-28,983548.9328684998,,
2022-03-01,949435.8500132752,,
2022-03-02,964474.4674449158,,
2022-03-03,969720.127875824,,
2022-03-04,952868.9177012634,,
2022-03-07,924521.9236827088,,
2022-03-08,917745.6766447602,,
2022-03-09,942644.3712706148,,
2022-03-10,929584.2457670746,,
2022-03-11,923303.607140976,,
2022-03-14,925537.7360777436,,
2022-03-15,942532.8601469574,,
2022-03-16,958274.876519638,,
2022-03-17,977902.2610258636,,
2022-03-18,990744.3687223968,,
2022-03-21,990356.6571440278,,
2022-03-22,1000302.3783659516,,
2022-03-23,989646.8545927582,,
2022-03-24,1005500.123269516,,
2022-03-25,1012124.3159575044,,
2022-03-28,1015298.9485563812,,
2022-03-29,1024843.9306883392,,
2022-03-30,1022439.8781370698,,
2022-03-31,1011086.3076262056,,
2022-04-01,1012977.2791227876,,
2022-04-04,1023600.8315825044,,
2022-04-05,1013228.9360305024,,
2022-04-06,1010759.5047420654,,
2022-04-07,1012570.1093410644,,
2022-04-08,1010688.7552669678,,
2022-04-11,989157.7204952394,,
2022-04-12,985533.820032898,,
2022-04-13,1000609.0525448,,
2022-04-14,992198.8321254884,,
2022-04-18,994643.2697124636,,
2022-04-19,1004576.7110256348,,
2022-04-20,1007891.9629665528,,
2022-04-21,998664.0461467896,,
2022-04-22,982300.8911937868,,
2022-04-25,994522.5737438356,,
2022-04-26,974398.1187770996,,
2022-04-27,994158.7342907104,,
2022-04-28,1006026.9837612304,,
2022-04-29,982836.2616092073,,
2022-05-02,995328.5020175322,,
2022-05-03,990020.4856448516,,
2022-05-04,1006899.3725561064,,
2022-05-05,979578.7513616486,,
2022-05-06,973632.6312169952,,
2022-05-09,949678.5958074492,,
2022-05-10,961733.983261673,,
2022-05-11,938851.1890966338,,
2022-05-12,925035.2698095244,,
2022-05-13,940878.9204183504,,
2022-05-16,941935.6395406646,,
2022-05-17,957586.4375509184,,
2022-05-18,920570.062621109,,
2022-05-19,917583.6223775788,,
2022-05-20,915674.3529256744,,
2022-05-23,942729.5418203278,,
2022-05-24,939154.6938253328,,
2022-05-25,949407.4481511994,,
2022-05-26,961610.8785920562,,
2022-05-27,988153.258017105,,
2022-05-31,983199.0571504058,,
2022-06-01,985188.000998062,,
2022-06-02,992998.8426423492,,
2022-06-03,976509.3503327788,,
2022-06-06,971916.9794221343,,
2022-06-07,985477.42012648,,
2022-06-08,977919.4559235992,,
2022-06-09,957597.1217561188,,
2022-06-10,914927.023932022,,
2022-06-13,876126.0854707183,,
2022-06-14,884190.0287385406,,
2022-06-15,910479.1384034576,,
2022-06-16,885925.7588715972,,
2022-06-17,895616.9281220855,,
2022-06-21,917639.0672364654,,
2022-06-22,915433.2832246246,,
2022-06-23,936153.4285798492,,
2022-06-24,968119.8946137849,,
2022-06-27,957958.7275300444,,
2022-06-28,927547.2447877348,,
2022-06-29,941216.2456880036,,
2022-06-30,928812.8649964752,,
2022-07-01,938757.0798249664,,
2022-07-05,950582.0145783843,,
2022-07-06,962731.7892365876,,
2022-07-07,970591.3439362946,,
2022-07-08,968211.6633805694,,
2022-07-11,957503.0147294464,,
2022-07-12,922217.4769761504,,
2022-07-13,919258.2435456696,,
2022-07-14,922473.9102036896,,
2022-07-15,932203.7430345002,,
2022-07-18,921501.434216446,,
2022-07-19,938937.1503300325,,
2022-07-20,945500.6625935212,,
2022-07-21,951128.4678578032,,
2022-07-22,940276.3896931304,,
2022-07-25,940026.4980091704,,
2022-07-26,927535.2888615264,,
2022-07-27,964667.0807560578,,
2022-07-28,977442.4735020294,,
2022-07-29,982224.2649082794,,
2022-08-01,973972.1464497223,,
2022-08-02,965183.7810917512,,
2022-08-03,983990.194817032,,
2022-08-04,985500.8487003936,,
2022-08-05,982829.338690628,,
2022-08-08,981435.9718464508,,
2022-08-09,986480.7361362152,,
2022-08-10,1003766.1071475678,,
2022-08-11,992075.1289584808,,
2022-08-12,997238.2028506928,,
2022-08-15,1005782.313569992,,
2022-08-16,1010758.363080185,,
2022-08-17,1008326.7058917694,,
2022-08-18,1004904.3598951264,,
2022-08-19,1006063.213076584,,
2022-08-22,989536.9526746674,,
2022-08-23,981118.0076764984,,
2022-08-24,980948.9087832184,,
2022-08-25,985555.1901934356,,
2022-08-26,966812.3883715364,,
2022-08-29,962168.8805499724,,
2022-08-30,961180.3048801116,,
2022-08-31,965653.0744693452,,
