,account_value,date,daily_return,datadate
0,1000000.0,2022-01-03,,2022-01-03
1,999665.7963867188,2022-01-04,-0.0003342036132812,2022-01-04
2,996189.2582122803,2022-01-05,-0.0034777004344894,2022-01-05
3,996645.59427948,2022-01-06,0.0004580816982695,2022-01-06
4,997055.7057327272,2022-01-07,0.0004114917635729,2022-01-07
5,997106.4538497924,2022-01-10,5.089797568325061e-05,2022-01-10
6,997388.4521728517,2022-01-11,0.0002828166661346,2022-01-11
7,997624.8182388308,2022-01-12,0.0002369849635455,2022-01-12
8,997146.0358230592,2022-01-13,-0.0004799223185092,2022-01-13
9,991679.1521255496,2022-01-14,-0.0054825306435654,2022-01-14
10,986609.744180298,2022-01-18,-0.0051119436507117,2022-01-18
11,983374.022935486,2022-01-19,-0.0032796364154099,2022-01-19
12,981183.5379364016,2022-01-20,-0.0022275196903672,2022-01-20
13,977642.5929916383,2022-01-21,-0.0036088507479552,2022-01-21
14,977115.6458740236,2022-01-24,-0.000538997708766,2022-01-24
15,981113.0626388552,2022-01-25,0.0040910375160925,2022-01-25
16,980871.4959503176,2022-01-26,-0.0002462169730854,2022-01-26
17,980924.3550308228,2022-01-27,5.38899139423954e-05,2022-01-27
18,984037.580117798,2022-01-28,0.0031737667344158,2022-01-28
19,984054.5753326418,2022-01-31,1.7270900204646722e-05,2022-01-31
20,985021.3128753664,2022-02-01,0.0009824023656388,2022-02-01
21,985134.790979004,2022-02-02,0.0001152037038736,2022-02-02
22,982103.1599929812,2022-02-03,-0.0030773768359253,2022-02-03
23,982060.3522506716,2022-02-04,-4.358782666979977e-05,2022-02-04
24,982736.2230209352,2022-02-07,0.0006882171433912,2022-02-07
25,995979.5771469118,2022-02-08,0.0134760007983285,2022-02-08
26,994286.037251282,2022-02-09,-0.0017003761266684,2022-02-09
27,986638.1921035768,2022-02-10,-0.0076917957822757,2022-02-10
28,982098.2711837773,2022-02-11,-0.0046014039960488,2022-02-11
29,980055.0356079104,2022-02-14,-0.0020804797603439,2022-02-14
30,982553.5253372196,2022-02-15,0.0025493361480044,2022-02-15
31,981593.2417556765,2022-02-16,-0.0009773346253206,2022-02-16
32,977530.3236007692,2022-02-17,-0.004139105672366,2022-02-17
33,976812.1753845218,2022-02-18,-0.0007346556919094,2022-02-18
34,976202.753082276,2022-02-22,-0.0006238889293185,2022-02-22
35,973267.9193771367,2022-02-23,-0.0030063772058341,2022-02-23
36,970786.9638824468,2022-02-24,-0.0025490981931035,2022-02-24
37,978757.5283889776,2022-02-25,0.0082104156762203,2022-02-25
38,977565.7928268438,2022-02-28,-0.0012176004041526,2022-02-28
39,970566.6057586676,2022-03-01,-0.0071598117687164,2022-03-01
40,976439.1281951908,2022-03-02,0.0060506124996264,2022-03-02
41,978298.9208129888,2022-03-03,0.0019046682625629,2022-03-03
42,974778.483033753,2022-03-04,-0.0035985297584815,2022-03-04
43,968791.0352798468,2022-03-07,-0.0061423675820908,2022-03-07
44,966294.0927818303,2022-03-08,-0.0025773798549809,2022-03-08
45,973152.5593780524,2022-03-09,0.0070977010492503,2022-03-09
46,969997.4458572394,2022-03-10,-0.0032421571421744,2022-03-10
47,968351.3985565192,2022-03-11,-0.0016969604484532,2022-03-11
48,970969.8874458316,2022-03-14,0.0027040688878188,2022-03-14
49,975536.1239387516,2022-03-15,0.0047027580895753,2022-03-15
50,981799.9503257755,2022-03-16,0.0064209066515481,2022-03-16
51,987131.260715485,2022-03-17,0.0054301391927555,2022-03-17
52,989116.5885185244,2022-03-18,0.0020112095341815,2022-03-18
53,988210.986937714,2022-03-21,-0.0009155660630127,2022-03-21
54,991669.073003388,2022-03-22,0.0034993398286229,2022-03-22
55,986298.066991425,2022-03-23,-0.0054161273737176,2022-03-23
56,991911.6528251652,2022-03-24,0.0056915713632732,2022-03-24
57,994740.8188392642,2022-03-25,0.0028522358881872,2022-03-25
58,996256.365592194,2022-03-28,0.0015235594279705,2022-03-28
59,999903.7626106266,2022-03-29,0.0036611028490289,2022-03-29
60,999526.0913276676,2022-03-30,-0.0003777076325555,2022-03-30
61,996779.8354637148,2022-03-31,-0.0027475579554955,2022-03-31
62,997585.4526969912,2022-04-01,0.0008082198341237,2022-04-01
63,1001731.9149467472,2022-04-04,,2022-04-04
64,997889.5149940492,2022-04-05,-0.0038357567482534,2022-04-05
65,998268.9509307866,2022-04-06,0.0003802384242301,2022-04-06
66,999315.2798553472,2022-04-07,0.0010481433120654,2022-04-07
67,999453.4711555486,2022-04-08,0.0001382859874026,2022-04-08
68,993464.2429969792,2022-04-11,-0.0059925032344374,2022-04-11
69,991393.3227134708,2022-04-12,-0.0020845443589001,2022-04-12
70,997555.7309066775,2022-04-13,0.0062159064944478,2022-04-13
71,996447.800733948,2022-04-14,-0.0011106448877022,2022-04-14
72,998871.1926361086,2022-04-18,0.0024320309607543,2022-04-18
73,1004393.2757171632,2022-04-19,0.0055283234933238,2022-04-19
74,1006852.5905540468,2022-04-20,0.0024485576480264,2022-04-20
75,1003820.9615524296,2022-04-21,-0.003010995879694,2022-04-21
76,994552.6263580326,2022-04-22,-0.009233056042248,2022-04-22
77,997901.6499313358,2022-04-25,0.003367366878882,2022-04-25
78,991041.3527954106,2022-04-26,-0.0068747227107974,2022-04-26
79,989242.1854232792,2022-04-27,-0.0018154311795934,2022-04-27
80,983577.5049751286,2022-04-28,-0.0057262827360389,2022-04-28
81,971916.1561752324,2022-04-29,-0.0118560548008783,2022-04-29
82,970034.6466857914,2022-05-02,-0.0019358763381864,2022-05-02
