date,ensemble,date,account_value
30-09-2022,823318.0902,,
03-10-2022,845127.0878,,
04-10-2022,862393.9883,,
05-10-2022,863602.9927,,
06-10-2022,854396.4029,,
07-10-2022,835723.8934,,
10-10-2022,841029.9458,,
11-10-2022,860606.6499,,
12-10-2022,861605.2043,,
13-10-2022,885809.0813,,
14-10-2022,873944.4743,,
17-10-2022,889670.036,,
18-10-2022,892269.1542,,
19-10-2022,884144.7252,,
20-10-2022,881502.1759,,
21-10-2022,901818.8554,,
24-10-2022,925723.5932,,
25-10-2022,931029.2098,,
26-10-2022,930657.0241,,
27-10-2022,919782.5437,,
28-10-2022,960477.0382,,
31-10-2022,947268.0109,,
01-11-2022,943241.9834,,
02-11-2022,921847.3736,,
03-11-2022,899931.1353,,
04-11-2022,907830.7665,,
07-11-2022,926046.103,,
08-11-2022,956339.436,,
09-11-2022,938893.2088,,
10-11-2022,975754.5613,,
11-11-2022,972499.4569,,
14-11-2022,967818.6803,,
15-11-2022,968763.7786,,
16-11-2022,969967.1939,,
17-11-2022,980991.1123,,
18-11-2022,982314.6428,,
21-11-2022,976473.572,,
22-11-2022,980614.7831,,
23-11-2022,976811.374,,
25-11-2022,970561.3916,,
28-11-2022,957328.3393,,
29-11-2022,948871.2605,,
30-11-2022,977923.5477,,
01-12-2022,977338.5775,,
02-12-2022,975340.2026,,
05-12-2022,969508.2632,,
06-12-2022,956252.7796,,
07-12-2022,956053.0313,,
08-12-2022,960787.9014,,
09-12-2022,945968.9201,,
12-12-2022,950347.6129,,
13-12-2022,945513.4815,,
14-12-2022,938143.0504,,
15-12-2022,910204.803,,
16-12-2022,906466.6635,,
19-12-2022,896690.1679,,
20-12-2022,895251.7185,,
21-12-2022,906406.321,,
22-12-2022,894708.4127,,
23-12-2022,891541.1879,,
27-12-2022,885633.9022,,
28-12-2022,871752.5435,,
29-12-2022,885736.9692,,
30-12-2022,885075.0055,,
03-01-2023,871819.3732,,
04-01-2023,876097.4168,,
05-01-2023,875535.1831,,
06-01-2023,903052.6497,,
09-01-2023,894202.3176,,
10-01-2023,903741.1244,,
11-01-2023,908140.442,,
12-01-2023,904395.3406,,
13-01-2023,910886.286,,
17-01-2023,905677.1812,,
18-01-2023,890152.4824,,
19-01-2023,882822.6995,,
20-01-2023,891146.1911,,
23-01-2023,894255.954,,
24-01-2023,895375.5398,,
25-01-2023,889340.5296,,
26-01-2023,889550.3556,,
27-01-2023,896819.277,,
30-01-2023,895922.5666,,
31-01-2023,896609.8614,,
01-02-2023,897285.3957,,
02-02-2023,900618.593,,
03-02-2023,900361.0304,,
06-02-2023,898363.2809,,
07-02-2023,906038.6244,,
08-02-2023,905626.7334,,
09-02-2023,903412.8395,,
10-02-2023,902799.6426,,
13-02-2023,912938.8206,,
14-02-2023,913483.0778,,
15-02-2023,910441.4935,,
16-02-2023,897653.6959,,
17-02-2023,891047.6342,,
21-02-2023,877337.6161,,
22-02-2023,877378.5611,,
23-02-2023,883570.5415,,
24-02-2023,872040.3199,,
27-02-2023,871990.7719,,
